Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
37241,5,1,0,0,0
37141,29,1,0,0,0
37181,14,2,0,0,0
37161,25,4,0,0,0
37121,32,6,0,0,0
37201,6,0,0,0,0
37321,8,0,0,0,0
36961,32,4,0,0,0
37101,6,0,0,0,0
37081,5,1,0,0,0
37061,5,1,0,0,0
37041,14,2,0,0,0
37001,26,3,0,0,0
36981,30,8,0,0,0
36861,25,4,0,0,0
36941,5,1,0,0,0
36821,27,3,0,0,0
36921,6,0,0,0,0
36901,6,0,0,0,0
36881,15,1,0,0,0
36841,31,7,0,0,0
36721,26,3,0,0,0
36701,26,4,0,0,0
36801,5,1,0,0,0
36781,6,0,0,0,0
36741,13,3,0,0,0
36681,24,14,0,0,0
36761,6,0,0,0,0
36621,6,0,0,0,0
36661,28,2,0,0,0
36641,6,0,0,0,0
36601,6,0,0,0,0
36581,16,0,0,0,0
36561,27,2,0,0,0
36521,29,9,0,0,0
36501,6,0,0,0,0
36481,16,0,0,0,0
36461,6,0,0,0,0
36441,5,1,0,0,0
36421,27,2,0,0,0
36401,28,2,0,0,0
36381,26,12,0,0,0
36361,6,0,0,0,0
36341,6,0,0,0,0
36321,6,0,0,0,0
36301,14,2,0,0,0
36281,26,3,0,0,0
36261,29,9,0,0,0
36241,28,3,0,0,0
36161,12,4,0,0,0
36221,6,0,0,0,0
36201,6,0,0,0,0
36101,30,8,0,0,0
36141,27,2,0,0,0
36181,6,0,0,0,0
36121,27,4,0,0,0
36081,6,0,0,0,0
36061,6,0,0,0,0
36041,6,0,0,0,0
36021,14,2,0,0,0
36001,27,2,0,0,0
35981,29,2,0,0,0
35961,30,8,0,0,0
35861,6,0,0,0,0
35801,13,3,0,0,0
35821,27,2,0,0,0
35941,29,2,0,0,0
35781,6,0,0,0,0
35741,27,11,0,0,0
35901,6,0,0,0,0
35721,29,3,0,0,0
35701,6,0,0,0,0
35681,13,3,0,0,0
35661,6,0,0,0,0
35641,6,0,0,0,0
35621,27,2,0,0,0
35601,24,7,0,0,0
35581,23,15,0,0,0
35461,5,1,0,0,0
35481,6,0,0,0,0
35541,24,5,0,0,0
35381,23,15,0,0,0
35421,12,4,0,0,0
35441,6,0,0,0,0
35201,22,16,0,0,0
35341,13,3,0,0,0
35321,25,4,0,0,0
35301,6,0,0,0,0
35281,6,0,0,0,0
35361,6,0,0,0,0
35221,31,1,0,0,0
35161,6,0,0,0,0
35081,31,1,0,0,0
35041,18,20,0,0,0
35101,6,0,0,0,0
35181,25,4,0,0,0
35121,6,0,0,0,0
35141,11,5,0,0,0
34981,6,0,0,0,0
34941,6,0,0,0,0
34921,6,0,0,0,0
34901,26,3,0,0,0
34881,30,2,0,0,0
34861,26,12,0,0,0
34961,14,2,0,0,0
34841,6,0,0,0,0
35001,30,2,0,0,0
34781,6,0,0,0,0
34741,6,0,0,0,0
34721,13,3,0,0,0
34701,27,2,0,0,0
34681,30,8,0,0,0
34641,0,0,0,6,0
34581,4,2,0,0,0
34561,27,2,0,0,0
34541,29,3,0,0,0
34601,15,1,0,0,0
34621,6,0,0,0,0
34521,31,7,0,0,0
34481,6,0,0,0,0
34441,12,4,0,0,0
34421,27,2,0,0,0
34401,30,2,0,0,0
34381,32,6,0,0,0
34501,0,0,0,6,0
34461,6,0,0,0,0
34301,6,0,0,0,0
34241,30,8,0,0,0
34321,6,0,0,0,0
34341,15,1,0,0,0
34361,0,0,0,6,0
34281,26,3,0,0,0
34261,30,2,0,0,0
34081,16,0,0,0,0
34221,0,0,0,6,0
34181,6,0,0,0,0
34041,27,2,0,0,0
34021,30,2,0,0,0
34001,30,8,0,0,0
34061,6,0,0,0,0
33901,28,4,0,0,0
34201,6,0,0,0,0
33961,26,3,0,0,0
33881,28,10,0,0,0
33941,16,0,0,0,0
33921,6,0,0,0,0
33761,30,2,0,0,0
33841,14,2,0,0,0
33821,6,0,0,0,0
33801,25,4,0,0,0
33781,6,0,0,0,0
33741,28,10,0,0,0
33661,23,6,0,0,0
33721,6,0,0,0,0
33701,13,3,0,0,0
33681,6,0,0,0,0
33641,29,3,0,0,0
33621,22,16,0,0,0
33601,30,2,0,0,0
33581,25,4,0,0,0
33561,6,0,0,0,0
33541,6,0,0,0,0
